question_id,question,category
1,What is the standard deduction for 2023?,deductions
2,When is the tax filing deadline?,deadlines
3,What is the distance of Andromeda from the Milky Way?,space
4,Do I need to pay taxes on unemployment benefits?,income
5,What is the child tax credit amount?,credits
6,Can I deduct home office expenses?,deductions
7,What is the earned income tax credit?,credits
8,How do you measure the density of an object?,physics
9,Do I need to file taxes if I made less than $12000?,filing_requirements
10,What is the mass of planet earth?,space
11,Can I deduct medical expenses?,deductions
12,What is the gift tax limit for 2023?,gift_tax
13,How does photo synthesis work?,biology
14,What is the capital gains tax rate?,capital_gains
15,What is the purpose of the spleen?,biology
16,What is the chemical composition of Jupyter?,space
17,Do I need to pay quarterly estimated taxes?,estimated_taxes
18,What is the alternative minimum tax?,amt
19,Can I deduct student loan interest?,deductions
20,What is the tax rate for short-term capital gains?,capital_gains
21,Do I need to report cryptocurrency gains?,crypto
22,What is the maximum HSA contribution for 2023?,health_savings
23,Can married couples file separately?,filing_status
24,What is the tax treatment of municipal bonds?,investments
25,Do I need to pay taxes on forgiven debt?,income
